"Financial Year","Name","Party Group","Total Receipts","Total Payments","Total Debts","Total Discretionary Benefits"
"2024-25","Animal Justice Party","","1215394","1049482","88103","0"
"2024-25","Australian Christians","","618360","509187","0","0"
"2024-25","Australian Citizens Party","","2854705","2727272","1850890","0"
"2024-25","Australian Democrats","","39026","43132","0","0"
"2024-25","Australian Greens","The Greens","9300188","9178497","603309","599192"
"2024-25","Australian Greens (South Australia)","The Greens","2624996","2250811","11172","0"
"2024-25","Australian Greens Victoria","The Greens","9766518","9833024","5444","0"
"2024-25","Australian Greens, Australian Capital Territory Branch","The Greens","1080191","945079","0","0"
"2024-25","Australian Greens, Northern Territory Branch","The Greens","360792","316155","0","0"
"2024-25","Australian Greens, Tasmanian Branch","The Greens","981396","745522","199114","0"
"2024-25","Australian Labor Party (ACT Branch)","Australian Labor Party","4069157","4294539","118245","0"
"2024-25","Australian Labor Party (ALP)","Australian Labor Party","71858506","71117925","216864","1873300"
"2024-25","Australian Labor Party (N.S.W. Branch)","Australian Labor Party","17710237","17185853","251187","0"
"2024-25","Australian Labor Party (Northern Territory) Branch","Australian Labor Party","1037138","1169776","3564","0"
"2024-25","Australian Labor Party (South Australian Branch)","Australian Labor Party","10530154","6181452","0","0"
"2024-25","Australian Labor Party (State of Queensland)","Australian Labor Party","23320771","21558561","15189","0"
"2024-25","Australian Labor Party (Tasmanian Branch)","Australian Labor Party","2866950","1823886","0","0"
"2024-25","Australian Labor Party (Victorian Branch)","Australian Labor Party","14784949","16176228","220919","0"
"2024-25","Australian Labor Party (Western Australian Branch)","Australian Labor Party","15476384","20102843","134904","0"
"2024-25","Australia's Voice","","406576","363726","0","0"
"2024-25","Better Together Party","","44260","60755","0","0"
"2024-25","Centre Alliance","","47962","45749","0","0"
"2024-25","Country Liberal Party (NT)","","1588664","2385104","0","0"
"2024-25","Dai Le & Frank Carbone W.S.C.","","0","0","0","0"
"2024-25","David Pocock","","920294","858870","124339","0"
"2024-25","Family First Party Australia","","1503494","1463445","2691","0"
"2024-25","Gerard Rennick People First","","588914","574995","0","0"
"2024-25","Health Environment Accountability Rights Transparency (HEART)","","88135","92371","0","0"
"2024-25","Indigenous - Aboriginal Party of Australia","","17841","16671","0","0"
"2024-25","Jacqui Lambie Network","","1354040","1413517","200000","0"
"2024-25","Katter's Australian Party (KAP)","","742860","708193","82220","0"
"2024-25","Kim for Canberra","","2427","2427","729","0"
"2024-25","Legalise Cannabis Australia","","1042544","698556","7063","0"
"2024-25","Liberal National Party of Queensland","Liberal","52325793","46588823","985998","0"
"2024-25","Liberal Party (W.A. Division) Inc","Liberal","17805220","17739560","241206","0"
"2024-25","Liberal Party of Australia","Liberal","53226829","52781603","3075900","1477000"
"2024-25","Liberal Party of Australia - ACT Division","Liberal","926316","1185582","43186","0"
"2024-25","Liberal Party of Australia - Tasmanian Division","Liberal","5113127","4228264","608976","0"
"2024-25","Liberal Party of Australia (S.A. Division)","Liberal","11062188","6085222","308840","0"
"2024-25","Liberal Party of Australia (Victorian Division)","Liberal","32153903","29681346","1937156","0"
"2024-25","Liberal Party of Australia, NSW Division","Liberal","32879191","34899595","2767190","0"
"2024-25","Libertarian Party","","765092","5257300","4123","0"
"2024-25","Libertarian Party of Queensland","","185550","160823","0","0"
"2024-25","National Party of Australia","The Nationals","4148468","4927588","131976","119970"
"2024-25","National Party of Australia - N.S.W.","The Nationals","6532878","9640312","1908697","0"
"2024-25","National Party of Australia - Victoria","The Nationals","2292221","2623623","1438771","0"
"2024-25","National Party of Australia (S.A.) Inc.","The Nationals","27165","34141","0","0"
"2024-25","National Party of Australia (WA) Inc","The Nationals","1316449","1967324","281591","0"
"2024-25","Pauline Hanson's One Nation","One Nation","3323609","3326298","740532","0"
"2024-25","Queensland Greens","The Greens","5895137","7060998","443242","0"
"2024-25","Shooters, Fishers and Farmers Party","","100687","135799","18806","0"
"2024-25","Socialist Alliance","","159525","158819","398","0"
"2024-25","Sustainable Australia Party - Universal Basic Income","","576261","510764","15086","0"
"2024-25","Tammy Tyrrell for Tasmania","","4472","0","4268","0"
"2024-25","The Great Australian Party","","131438","98651","0","0"
"2024-25","The Greens (WA) Inc","The Greens","1699577","2465495","212240","0"
"2024-25","The Greens NSW","The Greens","4270895","7565798","129092","0"
"2024-25","Trumpet of Patriots","","54081977","53430463","1220594","0"
"2024-25","Trumpet of Patriots Party Australian Capital Territory","","0","0","0","0"
"2024-25","Trumpet of Patriots Party New South Wales","","0","0","0","0"
"2024-25","Trumpet of Patriots Party Northern Territory","","0","0","0","0"
"2024-25","Trumpet of Patriots Party Queensland","","0","0","0","0"
"2024-25","Trumpet of Patriots Party South Australia","","0","0","0","0"
"2024-25","Trumpet of Patriots Party Tasmania","","0","0","0","0"
"2024-25","Trumpet of Patriots Party Victoria","","0","0","0","0"
"2024-25","Trumpet of Patriots Western Australia","","0","0","0","0"
"2024-25","Victorian Socialists","","111782","131706","0","0"
"2024-25","votefusion.org for big ideas","","29046","39082","0","0"
"2023-24","Animal Justice Party","","1186307","741013","129470","0"
"2023-24","Australian Christians","","302405","299969","0","0"
"2023-24","Australian Citizens Party","","2345119","2267004","1338906","0"
"2023-24","Australian Democrats","","32435","42223","0","0"
"2023-24","Australian Greens","The Greens","4824346","4693452","695105","220000"
"2023-24","Australian Greens (South Australia)","The Greens","449191","560874","18975","0"
"2023-24","Australian Greens Victoria","The Greens","3243532","2670885","23837","0"
"2023-24","Australian Greens, Australian Capital Territory Branch","The Greens","556388","703199","21305","0"
"2023-24","Australian Greens, Northern Territory Branch","The Greens","237548","192079","0","0"
"2023-24","Australian Greens, Tasmanian Branch","The Greens","660387","685491","223622","0"
"2023-24","Australian Labor Party (ACT Branch)","Australian Labor Party","3484141","3234089","942590","0"
"2023-24","Australian Labor Party (ALP)","Australian Labor Party","15004625","16195408","325923","1214400"
"2023-24","Australian Labor Party (N.S.W. Branch)","Australian Labor Party","13308109","6262189","148161","0"
"2023-24","Australian Labor Party (Northern Territory) Branch","Australian Labor Party","982858","992483","2894","0"
"2023-24","Australian Labor Party (South Australian Branch)","Australian Labor Party","2893396","1930756","0","0"
"2023-24","Australian Labor Party (State of Queensland)","Australian Labor Party","10574636","7769372","136906","0"
"2023-24","Australian Labor Party (Tasmanian Branch)","Australian Labor Party","2174893","2645565","87420","0"
"2023-24","Australian Labor Party (Victorian Branch)","Australian Labor Party","11117789","7256450","303750","0"
"2023-24","Australian Labor Party (Western Australian Branch)","Australian Labor Party","7972813","4757444","318727","0"
"2023-24","Australian Values Party","","0","990","0","0"
"2023-24","Centre Alliance","","36","51666","0","0"
"2023-24","Country Liberal Party (NT)","","1244422","671987","0","0"
"2023-24","Dai Le & Frank Carbone W.S.C.","","0","0","0","0"
"2023-24","David Pocock","","205272","190160","112940","0"
"2023-24","Drew Pavlou Democratic Alliance","","0","0","0","0"
"2023-24","Health Environment Accountability Rights Transparency (HEART)","","19665","6794","32301","0"
"2023-24","Independent Voices for the Senate","","0","4665","0","0"
"2023-24","Indigenous - Aboriginal Party of Australia","","8660","9084","0","0"
"2023-24","Jacqui Lambie Network","","321532","319110","0","0"
"2023-24","Katter's Australian Party (KAP)","","355627","507801","21032","0"
"2023-24","Kim for Canberra","","1910","1910","0","0"
"2023-24","Legalise Cannabis Australia","","27300","22998","21653","0"
"2023-24","Liberal National Party of Queensland","Liberal","13651767","12074006","131626","0"
"2023-24","Liberal Party (W.A. Division) Inc","Liberal","4900454","2450516","338819","0"
"2023-24","Liberal Party of Australia","Liberal","11067722","10135195","590274","1183600"
"2023-24","Liberal Party of Australia - ACT Division","Liberal","33703","10892","0","0"
"2023-24","Liberal Party of Australia - Tasmanian Division","Liberal","3357212","3552416","309369","0"
"2023-24","Liberal Party of Australia (S.A. Division)","Liberal","2940218","2832805","25574","0"
"2023-24","Liberal Party of Australia (Victorian Division)","Liberal","15626736","9291509","2179697","0"
"2023-24","Liberal Party of Australia, NSW Division","Liberal","11859218","9981759","2474422","0"
"2023-24","Libertarian Party","","371782","570015","104216","0"
"2023-24","Libertarian Party of Queensland","","16867","6153","0","0"
"2023-24","Local Network","","0","0","0","0"
"2023-24","National Party of Australia","The Nationals","2477542","2570193","272042","159286"
"2023-24","National Party of Australia - N.S.W.","The Nationals","4199633","4414784","492023","0"
"2023-24","National Party of Australia - Victoria","The Nationals","1517588","1281325","87039","0"
"2023-24","National Party of Australia (S.A.) Inc.","The Nationals","12518","12368","0","0"
"2023-24","National Party of Australia (WA) Inc","The Nationals","632498","450320","28823","0"
"2023-24","Pauline Hanson's One Nation","One Nation","2004808","2816465","219065","0"
"2023-24","Queensland Greens","The Greens","2520672","2922170","143104","0"
"2023-24","Reason Australia","","8165","20132","0","0"
"2023-24","Shooters, Fishers and Farmers Party","","86479","76384","13433","0"
"2023-24","Socialist Alliance","","67697","73008","623","0"
"2023-24","Sustainable Australia Party - Universal Basic Income","","131098","167716","44630","0"
"2023-24","The Great Australian Party","","186935","88299","0","0"
"2023-24","The Greens (WA) Inc","The Greens","423529","656992","23371","0"
"2023-24","The Greens NSW","The Greens","4222468","2651704","97983","0"
"2023-24","TNL","","49","927","0","0"
"2023-24","Trumpet of Patriots","","0","0","0","0"
"2023-24","Trumpet of Patriots Party Australian Capital Territory","","0","0","0","0"
"2023-24","Trumpet of Patriots Party New South Wales","","0","0","0","0"
"2023-24","Trumpet of Patriots Party Northern Territory","","0","0","0","0"
"2023-24","Trumpet of Patriots Party Queensland","","0","0","0","0"
"2023-24","Trumpet of Patriots Party South Australia","","0","0","0","0"
"2023-24","Trumpet of Patriots Party Tasmania","","0","0","0","0"
"2023-24","Trumpet of Patriots Party Victoria","","0","0","0","0"
"2023-24","Trumpet of Patriots Western Australia","","0","0","0","0"
"2023-24","Victorian Socialists","","41602","12577","0","0"
"2023-24","votefusion.org for big ideas","","18576","10058","6634","0"
"2022-23","Animal Justice Party","","1776656","2144668","222503","0"
"2022-23","Australian Christians","","240415","239097","0","0"
"2022-23","Australian Citizens Party","","2169290","2051796","1203504","0"
"2022-23","Australian Democrats","","52089","19860","0","0"
"2022-23","Australian Greens","The Greens","5265987","5311978","711099","437432"
"2022-23","Australian Greens (South Australia)","The Greens","1305803","1256955","14458","0"
"2022-23","Australian Greens Victoria","The Greens","4710491","5004968","38593","0"
"2022-23","Australian Greens, Australian Capital Territory Branch","The Greens","826571","489164","22162","0"
"2022-23","Australian Greens, Northern Territory Branch","The Greens","155153","90265","0","0"
"2022-23","Australian Greens, Tasmanian Branch","The Greens","551594","456596","42299","0"
"2022-23","Australian Labor Party (ACT Branch)","Australian Labor Party","1353817","1169061","17721","0"
"2022-23","Australian Labor Party (ALP)","Australian Labor Party","18426876","12137349","357194","1458963"
"2022-23","Australian Labor Party (N.S.W. Branch)","Australian Labor Party","26517551","21949706","219556","0"
"2022-23","Australian Labor Party (Northern Territory) Branch","Australian Labor Party","774414","452652","4743","0"
"2022-23","Australian Labor Party (South Australian Branch)","Australian Labor Party","2248098","4370633","0","0"
"2022-23","Australian Labor Party (State of Queensland)","Australian Labor Party","7795298","5352712","36332","0"
"2022-23","Australian Labor Party (Tasmanian Branch)","Australian Labor Party","1024757","584336","39231","0"
"2022-23","Australian Labor Party (Victorian Branch)","Australian Labor Party","21179672","32423774","288844","0"
"2022-23","Australian Labor Party (Western Australian Branch)","Australian Labor Party","5155311","3628787","208770","0"
"2022-23","Australian Progressives","","49502","4826","0","0"
"2022-23","Australian Values Party","","822495","126471","0","0"
"2022-23","Centre Alliance","","150984","239635","2283","0"
"2022-23","Country Liberal Party (NT)","","1049760","832170","0","0"
"2022-23","David Pocock","","392508","659615","40081","0"
"2022-23","Derryn Hinch's Justice Party","","38800","39123","13500","0"
"2022-23","Drew Pavlou Democratic Alliance","","10000","10000","0","0"
"2022-23","Federal ICAC Now","","100","1722","0","0"
"2022-23","Health Environment Accountability Rights Transparency (HEART)","","6338","5174","32301","0"
"2022-23","Independent Voices for the Senate","","7286","4159","6459","0"
"2022-23","Indigenous - Aboriginal Party of Australia","","22517","22117","0","0"
"2022-23","Jacqui Lambie Network","","296213","153576","0","0"
"2022-23","Katter's Australian Party (KAP)","","542689","399740","29852","0"
"2022-23","Kim for Canberra","","59570","92294","0","0"
"2022-23","Legalise Cannabis Australia","","42958","34177","0","0"
"2022-23","Liberal Democratic Party","","390000","531422","79861","0"
"2022-23","Liberal Democratic Party (ACT Branch)","","0","0","0","0"
"2022-23","Liberal Democratic Party (NSW Branch)","","134231","138052","0","0"
"2022-23","Liberal Democratic Party (QLD Branch)","","0","275","19501","0"
"2022-23","Liberal Democratic Party (SA Branch)","","1177","150","0","0"
"2022-23","Liberal Democratic Party (Victoria Branch)","","150860","164407","0","0"
"2022-23","Liberal Democratic Party (WA Branch)","","0","0","0","0"
"2022-23","Liberal National Party of Queensland","Liberal","16627487","20242599","144340","0"
"2022-23","Liberal Party (W.A. Division) Inc","Liberal","3961313","3369239","21911","0"
"2022-23","Liberal Party of Australia","Liberal","39498297","41017553","1041758","1527376"
"2022-23","Liberal Party of Australia - ACT Division","Liberal","1086312","1086762","16188","0"
"2022-23","Liberal Party of Australia - Tasmanian Division","Liberal","2534093","2449711","213296","0"
"2022-23","Liberal Party of Australia (S.A. Division)","Liberal","3043084","2406247","47868","0"
"2022-23","Liberal Party of Australia (Victorian Division)","Liberal","23321888","30110760","2772344","0"
"2022-23","Liberal Party of Australia, NSW Division","Liberal","21558638","25260502","4134926","0"
"2022-23","Local Network","","0","0","0","0"
"2022-23","National Party of Australia","The Nationals","2311705","2018812","218214","182030"
"2022-23","National Party of Australia - N.S.W.","The Nationals","10255074","8789212","501365","0"
"2022-23","National Party of Australia - Victoria","The Nationals","3324926","3129724","903518","0"
"2022-23","National Party of Australia (S.A.) Inc.","The Nationals","9605","21238","0","0"
"2022-23","National Party of Australia (WA) Inc","The Nationals","420773","448749","9739","0"
"2022-23","Pauline Hanson's One Nation","One Nation","4514428","3266412","84460","0"
"2022-23","Queensland Greens","The Greens","3559485","1186107","47959","0"
"2022-23","Reason Australia","","70759","103559","0","0"
"2022-23","Rex Patrick Team","","0","0","0","0"
"2022-23","Shooters, Fishers and Farmers Party","","99119","39579","20839","0"
"2022-23","Socialist Alliance","","51555","82306","829","0"
"2022-23","Sustainable Australia Party - Universal Basic Income","","349541","348581","0","0"
"2022-23","The Great Australian Party","","142933","175464","0","0"
"2022-23","The Greens (WA) Inc","The Greens","1690132","679534","24523","0"
"2022-23","The Greens NSW","The Greens","7530885","5760890","73781","0"
"2022-23","TNL","","4889","4147","0","0"
"2022-23","Trumpet of Patriots","","3040","3038","0","0"
"2022-23","Trumpet of Patriots Party Australian Capital Territory","","0","0","0","0"
"2022-23","Trumpet of Patriots Party New South Wales","","0","0","0","0"
"2022-23","Trumpet of Patriots Party Northern Territory","","0","0","0","0"
"2022-23","Trumpet of Patriots Party Queensland","","0","0","0","0"
"2022-23","Trumpet of Patriots Party South Australia","","0","0","0","0"
"2022-23","Trumpet of Patriots Party Tasmania","","0","0","0","0"
"2022-23","Trumpet of Patriots Party Victoria","","0","0","0","0"
"2022-23","Trumpet of Patriots Western Australia","","0","0","0","0"
"2022-23","United Australia Party","","9152254","2491896","1904","0"
"2022-23","Victorian Socialists","","472590","42066","0","0"
"2022-23","votefusion.org for big ideas","","10766","11350","0","0"
"2021-22","Animal Justice Party","","1674715","1738173","55915","0"
"2021-22","Australia First Party (NSW) Incorporated","","9807","13607","0","0"
"2021-22","Australian Affordable Housing Party","","1604","4290","0","0"
"2021-22","Australian Better Families","","6785","5701","0","0"
"2021-22","Australian Christians","","291244","302681","0","0"
"2021-22","Australian Citizens Party","","2431121","2351396","1056576","0"
"2021-22","Australian Democrats","","97103","135064","0","0"
"2021-22","Australian Greens","The Greens","6037810","6108294","507826","236500"
"2021-22","Australian Greens (South Australia)","The Greens","2104981","1998604","842227","0"
"2021-22","Australian Greens Victoria","The Greens","6569877","4843532","151516","0"
"2021-22","Australian Greens, Australian Capital Territory Branch","The Greens","671201","916942","63642","0"
"2021-22","Australian Greens, Northern Territory Branch","The Greens","117666","175656","6189","0"
"2021-22","Australian Greens, Tasmanian Branch","The Greens","664055","809463","121169","0"
"2021-22","Australian Labor Party (ACT Branch)","Australian Labor Party","1410674","1247858","30639","0"
"2021-22","Australian Labor Party (ALP)","Australian Labor Party","58297794","59597762","154790","1455644"
"2021-22","Australian Labor Party (N.S.W. Branch)","Australian Labor Party","17435354","13578576","195058","0"
"2021-22","Australian Labor Party (Northern Territory) Branch","Australian Labor Party","857648","786595","6253","0"
"2021-22","Australian Labor Party (South Australian Branch)","Australian Labor Party","10630248","7268536","19044","0"
"2021-22","Australian Labor Party (State of Queensland)","Australian Labor Party","10966081","10211937","79585","0"
"2021-22","Australian Labor Party (Tasmanian Branch)","Australian Labor Party","1091837","833059","7155","0"
"2021-22","Australian Labor Party (Victorian Branch)","Australian Labor Party","16421796","12285388","699814","0"
"2021-22","Australian Labor Party (Western Australian Branch)","Australian Labor Party","7136241","7842523","56127","0"
"2021-22","Australian People's Party","","0","0","0","0"
"2021-22","Australian Progressives","","14589","20501","21290","0"
"2021-22","Australian Values Party","","134459","912406","780356","0"
"2021-22","Centre Alliance","","254085","268689","34328","0"
"2021-22","Christian Democratic Party (Fred Nile Group)","Christian Democratic Party (Fred Nile Group)","991795","888332","410479","0"
"2021-22","Country Labor Party","Australian Labor Party","52645","2242832","0","0"
"2021-22","Country Liberal Party (NT)","","984286","954066","33696","0"
"2021-22","David Pocock","","1687671","1797905","490038","0"
"2021-22","Democratic Labour Party","Democratic Labor Party","13545","14775","0","0"
"2021-22","Democratic Labour Party - Queensland Branch","Democratic Labor Party","6110","3861","0","0"
"2021-22","Democratic Labour Party - Victorian Branch","Democratic Labor Party","120356","45041","0","0"
"2021-22","Democratic Labour Party - WA Branch","Democratic Labor Party","2764","2501","0","0"
"2021-22","Democratic Labour Party NSW Branch","Democratic Labor Party","20","0","0","0"
"2021-22","Derryn Hinch's Justice Party","","10112","25216","0","0"
"2021-22","Drew Pavlou Democratic Alliance","","173799","173799","0","0"
"2021-22","Federal ICAC Now","","18875","14614","0","0"
"2021-22","Health Australia Party","","9021","8547","10633","0"
"2021-22","Health Environment Accountability Rights Transparency (HEART)","","87522","93967","32301","0"
"2021-22","Independents CAN","","18390","22323","0","0"
"2021-22","Indigenous - Aboriginal Party of Australia","","100320","103001","0","0"
"2021-22","Jacqui Lambie Network","","506742","790891","15835","0"
"2021-22","Katter's Australian Party (KAP)","","361436","592557","60363","0"
"2021-22","Kim for Canberra","","472978","419641","88931","0"
"2021-22","Legalise Cannabis Australia","","55129","52354","0","0"
"2021-22","Liberal Democratic Party","","1702955","1614116","240758","0"
"2021-22","Liberal Democratic Party (ACT Branch)","","1305","0","0","0"
"2021-22","Liberal Democratic Party (NSW Branch)","","260746","253390","886","0"
"2021-22","Liberal Democratic Party (QLD Branch)","","721778","714023","19500","0"
"2021-22","Liberal Democratic Party (SA Branch)","","36122","33019","0","0"
"2021-22","Liberal Democratic Party (Victoria Branch)","","496576","459774","0","0"
"2021-22","Liberal Democratic Party (WA Branch)","","60124","55978","0","0"
"2021-22","Liberal National Party of Queensland","Liberal","14368071","16712563","473480","0"
"2021-22","Liberal Party (W.A. Division) Inc","Liberal","8214860","8436864","179613","0"
"2021-22","Liberal Party of Australia","Liberal","20788021","21701733","20593453","1724990"
"2021-22","Liberal Party of Australia - ACT Division","Liberal","1045684","1437659","67556","0"
"2021-22","Liberal Party of Australia - Tasmanian Division","Liberal","3810053","3906199","153090","0"
"2021-22","Liberal Party of Australia (S.A. Division)","Liberal","8974275","11075460","164232","0"
"2021-22","Liberal Party of Australia (Victorian Division)","Liberal","21094525","24381933","6636770","0"
"2021-22","Liberal Party of Australia, NSW Division","Liberal","24953581","29170153","6022935","0"
"2021-22","Local Network","","239541","182866","0","0"
"2021-22","Love Australia or Leave","","0","0","7500","0"
"2021-22","National Party of Australia","The Nationals","2872920","4570334","123903","141999"
"2021-22","National Party of Australia - N.S.W.","The Nationals","5916029","6286341","1009654","0"
"2021-22","National Party of Australia - Victoria","The Nationals","1956410","2178414","296091","0"
"2021-22","National Party of Australia (S.A.) Inc.","The Nationals","294477","216867","23000","0"
"2021-22","National Party of Australia (WA) Inc","The Nationals","397012","389718","22677","0"
"2021-22","No5G Party","","2595","3032","0","0"
"2021-22","Pauline Hanson's One Nation","One Nation","3208878","3420186","244443","0"
"2021-22","Queensland Greens","The Greens","1835214","2795207","143060","0"
"2021-22","Reason Australia","","355736","369652","28271","0"
"2021-22","Republican Party of Australia","","13303","12774","0","0"
"2021-22","Rex Patrick Team","","293226","334725","0","0"
"2021-22","Science Party","","5420","5640","0","0"
"2021-22","Secular Party of Australia","","2047","3933","0","0"
"2021-22","Seniors United Party of Australia","","15007","16455","0","0"
"2021-22","Shooters, Fishers and Farmers Party","","160940","83977","8953","0"
"2021-22","Socialist Alliance","","134313","145441","837","0"
"2021-22","Socialist Equality Party","","392089","458850","0","0"
"2021-22","Sustainable Australia Party - Universal Basic Income","","441796","457051","0","0"
"2021-22","The Great Australian Party","","505079","532939","532","0"
"2021-22","The Greens (WA) Inc","The Greens","943932","1226221","229878","0"
"2021-22","The Greens NSW","The Greens","3305363","5912838","145141","0"
"2021-22","The Small Business Party","","0","0","0","0"
"2021-22","TNL","","164006","181824","0","0"
"2021-22","Transport Matters Party","","0","0","0","0"
"2021-22","Trumpet of Patriots","","129048","126082","0","0"
"2021-22","Trumpet of Patriots Party Australian Capital Territory","","0","0","0","0"
"2021-22","Trumpet of Patriots Party New South Wales","","0","0","0","0"
"2021-22","Trumpet of Patriots Party Northern Territory","","0","0","0","0"
"2021-22","Trumpet of Patriots Party Queensland","","0","0","0","0"
"2021-22","Trumpet of Patriots Party South Australia","","0","0","0","0"
"2021-22","Trumpet of Patriots Party Tasmania","","173","0","0","0"
"2021-22","Trumpet of Patriots Party Victoria","","0","0","0","0"
"2021-22","Trumpet of Patriots Western Australia","","0","0","0","0"
"2021-22","United Australia Party","","116857807","123492603","10082222","0"
"2021-22","Victorian Socialists","","113413","153968","0","0"
"2021-22","VOTEFLUX.ORG | Upgrade Democracy!","","3318","3811","0","0"
"2021-22","votefusion.org for big ideas","","54382","51282","17064","0"
"2021-22","WESTERN AUSTRALIA PARTY","","1050784","1089190","0","0"
"2020-21","Animal Justice Party","","1569486","1194138","75639","0"
"2020-21","Australia First Party (NSW) Incorporated","","15169","15398","7167","0"
"2020-21","Australian Affordable Housing Party","","1150","310","0","0"
"2020-21","Australian Better Families","","9860","3748","0","0"
"2020-21","Australian Christians","","344129","323250","0","0"
"2020-21","Australian Citizens Party","","2293779","2243963","943242","0"
"2020-21","Australian Democrats","","44189","12562","0","0"
"2020-21","Australian Greens","The Greens","4464629","3557895","783207","347818"
"2020-21","Australian Greens (South Australia)","The Greens","552085","525904","173495","0"
"2020-21","Australian Greens Victoria","The Greens","2523967","2760628","66641","0"
"2020-21","Australian Greens, Australian Capital Territory Branch","The Greens","808645","683826","41276","0"
"2020-21","Australian Greens, Northern Territory Branch","The Greens","92043","95096","4931","0"
"2020-21","Australian Greens, Tasmanian Branch","The Greens","453993","557019","14144","0"
"2020-21","Australian Labor Party (ACT Branch)","Australian Labor Party","2272499","2197397","38385","0"
"2020-21","Australian Labor Party (ALP)","Australian Labor Party","10183937","9506678","2875402","1566948"
"2020-21","Australian Labor Party (N.S.W. Branch)","Australian Labor Party","8273722","5744433","130655","0"
"2020-21","Australian Labor Party (Northern Territory) Branch","Australian Labor Party","904272","1027595","87552","0"
"2020-21","Australian Labor Party (South Australian Branch)","Australian Labor Party","2170190","2041582","9690","0"
"2020-21","Australian Labor Party (State of Queensland)","Australian Labor Party","18639988","15250139","64091","0"
"2020-21","Australian Labor Party (Tasmanian Branch)","Australian Labor Party","1170441","1458357","48247","0"
"2020-21","Australian Labor Party (Victorian Branch)","Australian Labor Party","10113503","5689722","509726","0"
"2020-21","Australian Labor Party (Western Australian Branch)","Australian Labor Party","12667196","10812739","127292","0"
"2020-21","Australian People's Party","","0","0","0","0"
"2020-21","Australian Progressives","","11778","7294","21290","0"
"2020-21","Australian Workers Party","","450","450","0","0"
"2020-21","Centre Alliance","","36283","62006","0","0"
"2020-21","Child Protection Party","","579","0","0","0"
"2020-21","Christian Democratic Party (Fred Nile Group)","Christian Democratic Party (Fred Nile Group)","553148","559382","112018","0"
"2020-21","Country Labor Party","Australian Labor Party","921713","301173","1753776","0"
"2020-21","Country Liberal Party (NT)","","920793","1038259","6795","0"
"2020-21","Democratic Labour Party","Democratic Labor Party","1070","0","0","0"
"2020-21","Democratic Labour Party - Queensland Branch","Democratic Labor Party","2265","2617","0","0"
"2020-21","Democratic Labour Party - Victorian Branch","Democratic Labor Party","45394","52816","0","0"
"2020-21","Democratic Labour Party - WA Branch","Democratic Labor Party","361","501","0","0"
"2020-21","Democratic Labour Party NSW Branch","Democratic Labor Party","110","0","0","0"
"2020-21","Derryn Hinch's Justice Party","","4780","7378","226","0"
"2020-21","Health Australia Party","","27877","30300","0","0"
"2020-21","Health Environment Accountability Rights Transparency (HEART)","","24320","25334","32301","0"
"2020-21","Independents CAN","","6080","4571","0","0"
"2020-21","Jacqui Lambie Network","","458428","198702","0","0"
"2020-21","Katter's Australian Party (KAP)","","908171","878045","11814","0"
"2020-21","Legalise Cannabis Australia","","1262","7700","0","0"
"2020-21","Liberal Democratic Party","","204210","102404","1052","0"
"2020-21","Liberal Democratic Party (ACT Branch)","","1608","4707","0","0"
"2020-21","Liberal Democratic Party (NSW Branch)","","29685","10711","5842","0"
"2020-21","Liberal Democratic Party (QLD Branch)","","5556","1529","0","0"
"2020-21","Liberal Democratic Party (SA Branch)","","0","0","0","0"
"2020-21","Liberal Democratic Party (Victoria Branch)","","317507","418908","45322","0"
"2020-21","Liberal Democratic Party (WA Branch)","","18080","46671","0","0"
"2020-21","Liberal National Party of Queensland","Liberal","23402361","17232143","245430","0"
"2020-21","Liberal Party (W.A. Division) Inc","Liberal","7639566","8506371","39270","0"
"2020-21","Liberal Party of Australia","Liberal","10298687","8432497","2061850","1353068"
"2020-21","Liberal Party of Australia - ACT Division","Liberal","2513287","2429533","40977","0"
"2020-21","Liberal Party of Australia - Tasmanian Division","Liberal","3420882","2824673","172486","0"
"2020-21","Liberal Party of Australia (S.A. Division)","Liberal","4106256","3669529","97839","0"
"2020-21","Liberal Party of Australia (Victorian Division)","Liberal","12086694","7522821","4611229","0"
"2020-21","Liberal Party of Australia, NSW Division","Liberal","11459751","8539629","3812983","0"
"2020-21","Love Australia or Leave","","923","0","7500","0"
"2020-21","National Party of Australia","The Nationals","1854387","1688957","35673","0"
"2020-21","National Party of Australia - N.S.W.","The Nationals","3988202","3422318","1095820","0"
"2020-21","National Party of Australia - Victoria","The Nationals","1929094","1503463","39029","0"
"2020-21","National Party of Australia (S.A.) Inc.","The Nationals","2816","3535","0","0"
"2020-21","National Party of Australia (WA) Inc","The Nationals","1199028","1601991","6494","0"
"2020-21","No5G Party","","5187","2169","1482","0"
"2020-21","Online Direct Democracy - (Empowering the People!)","","15000","12000","83231","0"
"2020-21","Pauline Hanson's One Nation","One Nation","687457","1591335","26619","0"
"2020-21","Pirate Party Australia","","5964","1232","0","0"
"2020-21","Queensland Greens","The Greens","2771711","2757729","52733","0"
"2020-21","Reason Australia","","139078","123624","26646","0"
"2020-21","Republican Party of Australia","","37775","36318","6191","0"
"2020-21","Rex Patrick Team","","53427","10491","10314","0"
"2020-21","Science Party","","13002","9800","0","0"
"2020-21","Secular Party of Australia","","3800","2212","0","0"
"2020-21","Seniors United Party of Australia","","935","460","0","0"
"2020-21","Shooters, Fishers and Farmers Party","","98538","129824","7279","0"
"2020-21","Socialist Alliance","","108960","92270","228","0"
