"Financial Year","Return Type","Name","Received From","Date","Value"
"2021-22","Significant Third Party Return","Australian Nursing & Midwifery Federation","Department of Education & Training","14/01/2022","3038"
"2021-22","Significant Third Party Return","Australian Nursing & Midwifery Federation","Department of Education & Training","13/07/2021","972"
"2021-22","Significant Third Party Return","Australian Nursing & Midwifery Federation","DEWR","21/06/2022","2500"
"2021-22","Significant Third Party Return","Australian Nursing & Midwifery Federation","Department of Education & Training","19/01/2022","314"
"2021-22","Significant Third Party Return","Australian Nursing & Midwifery Federation","Department of Education & Training","11/02/2022","2159"
"2021-22","Significant Third Party Return","Australian Nursing & Midwifery Federation","DHHS-ACEOC","20/07/2021","4140"
"2021-22","Significant Third Party Return","Australian Nursing & Midwifery Federation","Department of Education & Training","11/03/2022","1886"
"2021-22","Significant Third Party Return","Australian Nursing & Midwifery Federation","DEWR","07/03/2022","4435"
"2021-22","Significant Third Party Return","Australian Nursing & Midwifery Federation","DEWR","24/12/2021","2500"
"2021-22","Significant Third Party Return","Australian Nursing & Midwifery Federation","DEWR","17/11/2021","2674"
"2021-22","Significant Third Party Return","Australian Nursing & Midwifery Federation","DEWR","17/09/2021","761"
"2021-22","Significant Third Party Return","Australian Nursing & Midwifery Federation","Department of Education & Training","12/04/2022","1828"
"2021-22","Significant Third Party Return","Australian Nursing & Midwifery Federation","DHHS-ACEOC","19/07/2021","41940"
"2021-22","Significant Third Party Return","Australian Nursing & Midwifery Federation","Department of Education & Training","04/05/2022","1680"
"2021-22","Significant Third Party Return","Australian Nursing & Midwifery Federation","Department of Education & Training","10/06/2022","2407"
"2021-22","Significant Third Party Return","Australian Nursing & Midwifery Federation","Australian Digital Health Agency","22/06/2022","15400"
"2021-22","Significant Third Party Return","Australian Nursing & Midwifery Federation","Australian Digital Health Agency","16/02/2022","18700"
"2021-22","Significant Third Party Return","Australian Nursing & Midwifery Federation","Australian Digital Health Agency","06/04/2022","16500"
"2021-22","Significant Third Party Return","Australian Nursing & Midwifery Federation","Department of Education & Training","10/12/2021","2638"
"2021-22","Significant Third Party Return","Australian Nursing & Midwifery Federation","Department of Education & Training","10/06/2022","89"
"2021-22","Significant Third Party Return","Australian Nursing & Midwifery Federation","DHHS-ACEOC","02/07/2021","35460"
"2021-22","Significant Third Party Return","Australian Nursing & Midwifery Federation","Department of Education & Training","10/06/2022","252"
"2021-22","Significant Third Party Return","Australian Nursing & Midwifery Federation","DEWR","17/05/2022","4555"
"2021-22","Significant Third Party Return","Australian Nursing & Midwifery Federation","DHHS-ACEOC","25/11/2021","16020"
"2021-22","Significant Third Party Return","Australian Nursing & Midwifery Federation","DHHS-ACEOC","13/01/2022","16740"
"2021-22","Significant Third Party Return","Australian Nursing & Midwifery Federation","DHHS-ACEOC","14/12/2021","24300"
"2021-22","Significant Third Party Return","Business Council of Australia","Department of Foreign Affairs and Trade- ANZLF","28/06/2022","50000"
"2021-22","Significant Third Party Return","Business Council of Australia","Department of Foreign Affairs and Trade- ANZLF","02/07/2021","50000"
"2021-22","Significant Third Party Return","Business Council of Australia","Department of Industry, Science, Energy and Resources- ANZLF","30/03/2022","27500"
"2021-22","Significant Third Party Return","Communications, Electrical and Plumbing Union - Electrical, Energy and Services Division","Department of Education and Training","06/04/2022","523671"
"2021-22","Significant Third Party Return","Communications, Electrical and Plumbing Union - Electrical, Energy and Services Division","Department of Education and Training","18/02/2022","314202"
"2021-22","Associated Entity Return","Electrical Trades Union of Australia - Victoria Branch","Department of Education and Training Victoria","06/04/2022","523671"
"2021-22","Associated Entity Return","Electrical Trades Union of Australia - Victoria Branch","Department of Education and Training Victoria","18/02/2022","314202"
"2021-22","Political Party Return","Liberal Party of Australia","Dept. of Finance","28/03/2022","330000"
"2021-22","Political Party Return","Liberal Party of Australia","Dept. of Finance","26/07/2021","1100000"
"2021-22","Political Party Return","Liberal Party of Australia","Dept. of Finance","12/07/2021","294990"
"2021-22","Significant Third Party Return","Master Builders Australia Ltd","Dept Prime Minister & Cabinet","","437800"
"2021-22","Significant Third Party Return","National Disability Services Limited","Commonwealth - Department of Education, Skills & Employment","","322316"
"2021-22","Significant Third Party Return","National Disability Services Limited","Queensland Government - Department of Communities, Disability Services & Seniors","","899052"
"2021-22","Significant Third Party Return","National Disability Services Limited","Victorian Government - Department of Families, Fairness & Housing","","2213937"
"2021-22","Significant Third Party Return","National Disability Services Limited","Tasmania - Department of Health","04/04/2022","98872"
"2021-22","Significant Third Party Return","National Disability Services Limited","Western Australia - Department of Communities","","7770775"
"2021-22","Significant Third Party Return","National Disability Services Limited","Tasmania - Department of State Growth (Skills Tasmania)","30/09/2021","68262"
"2021-22","Significant Third Party Return","National Disability Services Limited","Western Australia - Department of Health","21/04/2022","20271"
"2021-22","Significant Third Party Return","National Disability Services Limited","Commonwealth - Department of Social Services","","189632"
"2021-22","Significant Third Party Return","National Disability Services Limited","South Australia - Department of Human Services","06/06/2022","14080"
"2021-22","Significant Third Party Return","National Disability Services Limited","Australian Capital Territory - Community Services Directorate","","143481"
"2021-22","Significant Third Party Return","National Disability Services Limited","Tasmania - Department of Health & Human Services","","253600"
"2021-22","Significant Third Party Return","National Disability Services Limited","South Australia - Department for Industry & Skills","22/07/2021","25080"
"2021-22","Significant Third Party Return","National Disability Services Limited","Northern Territory - Department of Health & Families","","316157"
"2021-22","Significant Third Party Return","National Disability Services Limited","Commonwealth - Department of Industry, Science, Energy & Resources - Digital Capability Team","14/04/2022","13648"
"2021-22","Political Party Return","National Party of Australia","Department Of Finance","12/07/2021","141999"
"2021-22","Significant Third Party Return","New South Wales Nurses and Midwives' Association","NSW Ministry of Health","30/05/2022","100689"
"2021-22","Associated Entity Return","The Australian Workers' Union Victorian Branch","Worksafe Victoria","22/09/2021","33000"
"2021-22","Associated Entity Return","The Australian Workers' Union Victorian Branch","Worksafe Victoria","12/08/2021","198000"
"2021-22","Associated Entity Return","The Chifley Research Centre Ltd","Department of Finance","19/04/2022","274027"
"2021-22","Associated Entity Return","The Green Institute Limited","Department of Finance","14/03/2022","102471"
"2021-22","Associated Entity Return","The Menzies Research Centre Limited","Dept. of Finance","19/04/2022","274027"
"2021-22","Associated Entity Return","The Page Research Centre Ltd","Commonwealth Grant Department of Finance","19/04/2022","132408"
"2020-21","Political Campaigner Return","Australian Automobile Association","The Department of Infrastructure & Regional Development ","15/09/2020","4400000"
"2020-21","Political Campaigner Return","Australian Chamber of Commerce and Industry","Commonwealth - Represented by FWO","30/06/2021","412500"
"2020-21","Political Campaigner Return","Australian Chamber of Commerce and Industry","ATO - Cash Flow Boost","30/06/2021","50000"
"2020-21","Political Campaigner Return","Australian Chamber of Commerce and Industry","WA Government - Covid Support","30/06/2021","17500"
"2020-21","Significant Third Party Return","Australian Conservation Foundation Incorporated","AUS GOVT","23/10/2020","12500"
"2020-21","Significant Third Party Return","Australian Conservation Foundation Incorporated","AUS GOVT","17/07/2020","189000"
"2020-21","Significant Third Party Return","Australian Conservation Foundation Incorporated","AUS GOVT","27/07/2020","12500"
"2020-21","Significant Third Party Return","Australian Conservation Foundation Incorporated","AUS GOVT","16/09/2020","12500"
"2020-21","Significant Third Party Return","Australian Conservation Foundation Incorporated","AUS GOVT","21/08/2020","12500"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Centrelink","29/06/2021","1507"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","19/08/2020","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","03/03/2021","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","17/02/2021","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","03/02/2021","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","20/01/2021","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","06/01/2021","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","23/12/2020","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","17/03/2021","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","08/07/2020","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Fair Work Ombudsman","11/02/2021","412500"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","09/12/2020","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","25/11/2020","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","11/11/2020","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","28/10/2020","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","23/06/2021","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","22/07/2020","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","09/06/2021","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","26/05/2021","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","05/08/2020","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Comcare","28/04/2021","1625"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Payment: Asbestos Safety & Eradication Agency -ASEA","18/06/2021","2672"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","Payment: Asbestos Safety & Eradication Agency -ASEA","18/06/2021","2137"
"2020-21","Political Campaigner Return","Australian Council of Trade Unions","WorkSafe Victoria","18/05/2021","47190"
