"Financial Year","Name","Lodged on behalf of","AssociatedParties","Total Receipts","Total Payments","Total Debts","Discretionary Benefits","Capital Contributions"
"2024-25","CEPU Communications Division - WA","","Australian Labor Party (Western Australian Branch); ","780823","822315","0","0","0"
"2024-25","CEPU Electrical, Energy & Services Division - SA Branch","","Australian Labor Party (South Australian Branch); ","0","0","0","0","0"
"2024-25","CEPU Electrical, Energy and Services Division - Tasmanian Branch","","Australian Labor Party (Tasmanian Branch); ","2327174","2134217","4710296","0","0"
"2024-25","CEPU Engineering & Electrical Division WA Branch","","Australian Labor Party (Western Australian Branch); ","4718865","4215583","187603","0","0"
"2024-25","CEPU P & T Victorian Branch","","Australian Labor Party (Victorian Branch); ","1628705","1739732","0","0","0"
"2024-25","CEPU Plumbing Division - NSW (CEPU of Australia NSW Branch)","","Australian Labor Party (N.S.W. Branch); ","3266959","2918804","266195","0","0"
"2024-25","CEPU Plumbing Division Queensland Branch","","Australian Labor Party (State of Queensland); ","7155657","6137528","295995","0","0"
"2024-25","CEPU Plumbing Division Victoria","","Australian Labor Party (Victorian Branch); ","12806911","11857942","1116625","0","0"
"2024-25","Chinese Liberals Association","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2024-25","Chisholm 200 Club","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2024-25","CHISIND PTY LTD","","Kathleen Davies; ","37141","35473","0","0","2293"
"2024-25","Citizens Media Group Pty Ltd","","Australian Citizens Party; ","40124","40563","27596","0","0"
"2024-25","CLP Gifts & Legacies Pty Ltd","","Country Liberal Party (NT); ","49497","31237","0","0","0"
"2024-25","Communication Workers Union Central Branch","","Australian Labor Party (N.S.W. Branch); Australian Labor Party (Northern Territory) Branch; Australian Labor Party (South Australian Branch); Australian Labor Party (State of Queensland); ","7435067","8710920","312758","0","0"
"2024-25","Constituent Management Services Pty Ltd","","National Party of Australia - N.S.W.; ","463911","465462","446502","0","0"
"2024-25","Construction Forestry Mining & Energy Union (NSW Branch) Construction & General Division (NSW State Body)","","Australian Labor Party (N.S.W. Branch); ","1148787","807140","0","0","0"
"2024-25","Cormack Foundation Pty Ltd","","Liberal Party of Australia (Victorian Division); Liberal Party of Australia; ","11805609","10129071","0","0","0"
"2024-25","Curtin Independent Pty Ltd","","Katherine Ella Chaney; ","0","0","0","0","0"
"2024-25","Dame Pattie Menzies Liberal Foundation","","Liberal Party of Australia, NSW Division; ","1563","402","0","0","0"
"2024-25","DICKSON DECIDES PTY LTD","","Ellie Smith; ","57605","54891","0","0","0"
"2024-25","Electrical Trades Union of Australia - Victoria Branch","","Australian Labor Party (Victorian Branch); ","20938863","22827929","164327","329104","0"
"2024-25","Electrical Trades Union of Australia NSW Branch","","Australian Labor Party (N.S.W. Branch); ","11431603","10646525","617181","0","0"
"2024-25","Electrical Trades Union of Employees Queensland","","Australian Labor Party (State of Queensland); Australian Labor Party (Northern Territory) Branch; ","3982330","3384357","3395660","0","0"
"2024-25","EMILY's List Australia","","Australian Labor Party (ALP); Australian Labor Party (Victorian Branch); ","242014","265666","10000","0","0"
"2024-25","Enterprise Club","","Liberal Party of Australia (Victorian Division); ","0","1050","0","0","0"
"2024-25","Erchana Murray-Bartlett Independent Pty Ltd","","Erchana Murray-Bartlett; ","0","18354","40752","0","0"
"2024-25","Finance Sector Union of Aust - QLD Branch","","Australian Labor Party (State of Queensland); ","0","0","0","0","0"
"2024-25","Finance Sector Union of Aust - SA/NT Branch","","Australian Labor Party (South Australian Branch); ","0","0","0","0","0"
"2024-25","Finance Sector Union of Australia","","Australian Labor Party (N.S.W. Branch); Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch); Australian Labor Party (Western Australian Branch); Australian Labor Party (South Australian Branch); Australian Labor Party (State of Queensland); ","15465758","15346688","533015","0","0"
"2024-25","Finance Sector Union of Australia - NSW Branch","Finance Sector Union NSW/ACT Branch","Australian Labor Party (N.S.W. Branch); ","0","0","0","0","0"
"2024-25","Finance Sector Union of Australia - VIC/TAS Branch","","Australian Labor Party (Victorian Branch); ","0","0","0","0","0"
"2024-25","Finance Sector Union of Australia - WA Branch","","Australian Labor Party (Western Australian Branch); ","0","0","0","0","0"
"2024-25","Forest Hill Supporters' Club","","Liberal Party of Australia (Victorian Division); ","414","21745","0","0","0"
"2024-25","Forrest Cattle Fund Inc","","Liberal Party (W.A. Division) Inc; ","638","638","0","0","0"
"2024-25","FORREST INDEPENDENT PTY LTD","","Sue Chapman; ","6750","602261","0","0","0"
"2024-25","Gatenby Investment Fund","","Liberal Party of Australia - Tasmanian Division; ","237014","383893","940657","0","0"
"2024-25","Goulburn River & Ranges 200 Club","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2024-25","Health & Community Services Union Vic No. 2 HSU","","Australian Labor Party (Victorian Branch); ","8498867","7688536","531202","0","0"
"2024-25","Health Services Union NSW","","Australian Labor Party (N.S.W. Branch); ","32112718","31572341","540755","0","0"
"2024-25","Health Services Union of Victoria No.1 Branch","","Australian Labor Party (Victorian Branch); ","6978295","7485830","2401381","0","0"
"2024-25","Health Services Union SA Branch","","Australian Labor Party (South Australian Branch); ","1648277","1476159","91598","0","0"
"2024-25","Higgins 200 Club","","Liberal Party of Australia (Victorian Division); ","18336","150170","0","0","0"
"2024-25","Higgins Foundation Ltd","","Liberal Party of Australia (Victorian Division); ","679683","408418","0","0","0"
"2024-25","Hilma's Network Foundation Limited","","Liberal National Party of Queensland; Liberal Party of Australia - ACT Division; Liberal Party of Australia (S.A. Division); Liberal Party of Australia, NSW Division; Liberal Party of Australia; Liberal Party of Australia (Victorian Division); ","150000","107084","0","0","0"
"2024-25","HOPE FOR MOORE PTY LTD","","Nathan Barton; ","0","0","0","0","0"
"2024-25","Independent Calare Pty Ltd","","Kathleen Hook; ","984126","943046","11427","0","0"
"2024-25","INDEPENDENT FARRER PTY LTD","","Michelle Milthorpe; ","222075","229084","0","0","0"
"2024-25","INDEPENDENT FOR GREY PTY LTD","","Anita Kuss; ","12379","15039","5485","0","0"
"2024-25","Independent for South Coast Pty Ltd","","Katherine Louise Dezamaulds; ","259585","262160","40766","0","0"
"2024-25","INDEPENDENT FOR STURT PTY LTD","","Verity Jane Cooper; ","0","0","0","0","0"
"2024-25","Independent Mackellar Pty Ltd","","Sophie Scamps; ","1773983","1748999","44648","0","0"
"2024-25","Industrial Staff Union","","Australian Labor Party (N.S.W. Branch); ","0","0","0","0","0"
"2024-25","Jagajaga 200 Club","","Liberal Party of Australia (Victorian Division); ","0","4400","0","0","0"
"2024-25","JINDEA PTY LTD","","Jess Ness; ","0","0","17000","0","0"
"2024-25","John Curtin House Limited","","Australian Labor Party (ALP); ","2349904","2222208","0","0","0"
"2024-25","John McEwen House Pty Ltd","JMH Fund Nominee Limited","National Party of Australia; ","5431590","584144","53963","0","0"
"2024-25","Kooyong 200 Club","","Liberal Party of Australia (Victorian Division); ","3452","118867","0","0","0"
"2024-25","L.P.A. Asset Management Ltd","","Liberal Party of Australia; ","0","0","0","0","0"
"2024-25","Labor Holdings Pty Ltd","","Australian Labor Party (State of Queensland); ","6240929","5329293","5778330","0","0"
"2024-25","Labor Services & Holding Pty Ltd ATF the Labor Services and Holding Trust","","Australian Labor Party (Victorian Branch); ","6858284","6862742","132426","0","0"
"2024-25","Laneway Assets Pty Ltd","","National Party of Australia; ","1793996","1714111","0","0","0"
"2024-25","Laneway Assets Pty Ltd as Trustee for the National Policy Forum Trust","","National Party of Australia; ","1818262","1981158","0","0","0"
"2024-25","LDP Administration Limited ","","Libertarian Party; Libertarian Party of Queensland; ","503416","501752","16348","0","0"
"2024-25","Liberal Asset Management (Custodians) Limited","","Liberal Party of Australia, NSW Division; ","720447","643555","4434","0","0"
"2024-25","Liberal Club Limited","","Liberal Party of Australia (S.A. Division); ","109094","73698","0","0","0"
"2024-25","Liberal Friends of Israel ","","Liberal Party of Australia (Victorian Division); ","12933","17929","0","0","0"
"2024-25","Liberal Properties Limited","","Liberal Party of Australia, NSW Division; ","302","343","0","0","0"
"2024-25","LNPQ Services Pty Ltd","","Liberal National Party of Queensland; ","147629","136200","56517","0","0"
"2024-25","LNPQ Services Pty Ltd ATF Ernst Reist Trust","","Liberal National Party of Queensland; ","0","120","0","0","0"
"2024-25","LPPH Pty Ltd","","Liberal Party (W.A. Division) Inc.; ","0","0","0","0","0"
"2024-25","Media Entertainment & Arts Alliance","Media Entertainment Arts & Alliance - VIC Branch; Media Entertainment ARts & Alliance - QLD Branch; Media Entertainment Arts & Alliance - SA Branch; Media Entertainment Arts & Alliance - WA Office; Media Entertainment & Arts Alliance NSW Branch","Australian Labor Party (N.S.W. Branch); ","15871228","14153631","582836","0","0"
"2024-25","Minority Impact Coalition Ltd","","QJ Collective Limited; ","0","0","0","0","0"
"2024-25","Monash Independent Pty Ltd","","Deborah Louise Leonard; ","19785","12216","0","0","0"
"2024-25","MONCRIEFF COMMUNITY INDEPENDENT PTY LTD","","Nicole Arrowsmith; ","0","0","0","0","0"
"2024-25","Mornington Gold","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2024-25","New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union ","","Australian Labor Party (N.S.W. Branch); Australian Labor Party (ACT Branch); ","20449142","19909450","544443","0","0"
"2024-25","Nixs Run Pty Ltd","","Nicolette Boele; ","2418036","2260081","164315","0","0"
"2024-25","Northern Territory ALP Investment Trust","","Australian Labor Party (Northern Territory) Branch; ","37180","22130","148784","0","0"
"2024-25","NPAV SERVICES PTY LTD","","National Party of Australia - Victoria; ","0","0","0","0","0"
"2024-25","OUTER EASTERN Platinum Club","","Liberal Party of Australia (Victorian Division); ","183","0","0","0","0"
"2024-25","Parakeelia Pty Ltd","","Liberal Party of Australia; ","1058093","1657991","1282886","0","0"
"2024-25","Parliamentary Liberal Party Communication Committee (Victoria)","","Liberal Party of Australia (Victorian Division); ","38274","20381","0","0","0"
