"Financial Year","Name","Lodged on behalf of","AssociatedParties","Total Receipts","Total Payments","Total Debts","Discretionary Benefits","Capital Contributions"
"2021-22","The Federation of Hunting Clubs Inc","","Shooters, Fishers and Farmers Party; ","66565","52502","2200","0","0"
"2021-22","The Flux Foundation","","VOTEFLUX.ORG | Upgrade Democracy!; ","0","0","0","0","0"
"2021-22","The Free Enterprise Foundation","","National Party of Australia; Liberal Party of Australia; ","0","0","0","0","0"
"2021-22","The Geelong 500 Club Inc","","Liberal Party of Australia (Victorian Division); ","3160","965","0","0","0"
"2021-22","The Green Institute Limited","","Australian Greens; ","150833","283813","29478","102471","0"
"2021-22","The Greenfields Foundation","","","75002","79200","0","0","0"
"2021-22","The Lady Wilson Foundation","","Liberal Party of Australia (S.A. Division); ","4784","816","0","0","0"
"2021-22","The Liberal Foundation Inc","","Liberal Party of Australia (S.A. Division); ","72513","237620","0","0","0"
"2021-22","The Liberal Party of Western Australia Pty Ltd","","Liberal Party (W.A. Division) Inc.; ","537088","650238","6330","0","0"
"2021-22","The Menzies Research Centre Limited","","Liberal Party of Australia; ","1150328","1357035","16430","274027","0"
"2021-22","The Nepean Club","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2021-22","The Page Research Centre Ltd","","National Party of Australia; ","190880","151156","13909","132408","0"
"2021-22","The Pinnacle Club","","Liberal Party of Australia (Victorian Division); ","355919","490122","0","0","0"
"2021-22","The Sapphire Club","","Liberal Party of Australia (Victorian Division); ","2061","0","0","0","0"
"2021-22","The Shop, Distributive & Allied Employees' Association of Western Australia","","Australian Labor Party (Western Australian Branch); ","9157990","9104574","217964","0","0"
"2021-22","The Sydney Small Business Club (The Warringah Club)","","Liberal Party of Australia; ","0","120","0","0","0"
"2021-22","The United Professional Firefighters Union of Western Australia","","Australian Labor Party (Western Australian Branch); ","1686534","1505079","112306","0","0"
"2021-22","The Violet Bobin Trust","","Australian Labor Party (State of Queensland); ","19459","76032","0","0","0"
"2021-22","Transport Workers Union (WA Branch)","","Australian Labor Party (Western Australian Branch); ","4260108","4312422","175923","0","0"
"2021-22","Transport Workers Union of Australia - NSW Branch","","Australian Labor Party (ACT Branch); ","2419690","2377270","152169","0","0"
"2021-22","Transport Workers Union of Australia NSW QLD Interim Governance Branch formerly Transport Workers Union of Australia Queensland","","Australian Labor Party (State of Queensland); ","6135180","6848152","420645","0","0"
"2021-22","Transport Workers Union of Australia SA/NT Branch","","Australian Labor Party (South Australian Branch); Australian Labor Party (Northern Territory) Branch; ","3489125","3976212","94450","0","0"
"2021-22","Transport Workers Union of New South Wales","","Australian Labor Party (N.S.W. Branch); ","4998109","8365940","786950","0","0"
"2021-22","Transport Workers Union VIC/TAS Branch","","Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch); ","7748163","8053368","650901","0","0"
"2021-22","United Firefighters Union of Australia QLD Branch","","Australian Labor Party (State of Queensland); ","0","0","0","0","0"
"2021-22","United Firefighters Union of Australia Tasmania Branch","","Australian Labor Party (Tasmanian Branch); ","350795","373820","0","0","0"
"2021-22","United Firefighters Union of Australia VIC","","Australian Labor Party (Victorian Branch); ","7054289","6628860","426203","0","0"
"2021-22","United Firefighters Union of SA Inc","","Australian Labor Party (South Australian Branch); ","1094062","1194288","127161","0","0"
"2021-22","Vapold Pty Ltd","","Liberal Party of Australia (Victorian Division); ","1305132","1763908","27666","0","0"
"2021-22","Voices of Goldstein Inc","","Zoe Daniel; ","67851","67363","3833","0","0"
"2021-22","Voices of Wannon Inc.","","Alex Dyson; ","6651","6475","0","0","0"
"2021-22","WA Labor Foundation Investment Company Pty Ltd","","Australian Labor Party (Western Australian Branch); ","1159119","10449","32315","0","0"
"2021-22","Warringah Independent Limited","","Zali Steggall; ","233291","224302","0","0","0"
"2021-22","We Are Hughes Incorporated","","Linda Seymour; ","3521","3128","0","0","0"
"2021-22","Western Australian Prison Officers' Union of Workers","","Australian Labor Party (Western Australian Branch); ","2886984","3128427","151538","0","0"
"2021-22","YLNP No. 1 Ltd (James Killen Foundation)","","Liberal National Party of Queensland; ","27202","128290","0","0","0"
"2020-21","1973 Foundation Pty Ltd","","Australian Labor Party (ACT Branch); ","1227228","970528","655182","0","0"
"2020-21","281 Sandgate Road Investments Pty Ltd","","Liberal National Party of Queensland; ","0","0","0","0","0"
"2020-21","281 Sandgate Road Properties Pty Ltd","","Liberal National Party of Queensland; ","2344521","0","8989636","0","0"
"2020-21","A.C.N. 009 936 010 Pty Ltd","","Liberal National Party of Queensland; ","3601622","5248864","0","0","0"
"2020-21","A.C.N. 010 507 614 Pty Ltd","","Liberal National Party of Queensland; ","3862909","3446114","0","0","0"
"2020-21","ALP Holdings Pty Ltd as Trustee of the ALP Investment Trust","","Australian Labor Party (South Australian Branch); ","60199","27906","1398060","0","0"
"2020-21","Altum Pty Ltd as Trustee for the Altum Head Quarters Trust","","Liberal National Party of Queensland; ","0","0","0","0","0"
"2020-21","Animal Justice Foundation Pty Ltd","","Animal Justice Party; ","125676","44637","0","0","0"
"2020-21","ASU - NSW Local Government Clerical Administrative Energy Airlines & Utilities Branch","","Australian Labor Party (N.S.W. Branch); Country Labor Party; ","1062529","1052879","22210","0","0"
"2020-21","ASU Victorian Private Sector Branch","","Australian Labor Party (Victorian Branch); ","2939756","2256434","13882","0","0"
"2020-21","Australasian Meat Industry Employees Union - Newcastle, Northern, South Australian & Tasmanian Branch","","Australian Labor Party (N.S.W. Branch); ","1388172","1287794","58644","0","0"
"2020-21","Australasian Meat Industry Employees' Union - NSW Branch","AMIEU NSW Branch","Australian Labor Party (N.S.W. Branch); ","1546658","0","56759","0","0"
"2020-21","Australasian Meat Industry Employees' Union - QWANT Branch","","Australian Labor Party (State of Queensland); ","2013139","2002788","0","0","0"
"2020-21","Australasian Meat Industry Employees Union SA & WA Branch","Australasian Meat Industry Employees' Union South and Western Australia Branch","Australian Labor Party (South Australian Branch); Australian Labor Party (Western Australian Branch); ","800019","780866","105562","0","0"
"2020-21","Australasian Meat Industry Employees Union Victorian Branch","","Australian Labor Party (Victorian Branch); ","1531825","1370144","163510","0","0"
"2020-21","Australian Federated Union of Locomotive Employees","","Australian Labor Party (State of Queensland); ","887173","695107","55625","50332","0"
"2020-21","Australian Municipal Administrative Clerical & Services Union - Queensland Together Branch","Queensland Together Branch","Australian Labor Party (State of Queensland); ","17535237","16926659","574721","0","0"
"2020-21","Australian Municipal, Administrative, Clerical and Services Union - Queensland (Services and Northern Administrative) Branch","","Australian Labor Party (State of Queensland); ","7592754","7374634","495664","0","0"
"2020-21","Australian Rail Tram & Bus Industry Union New South Wales Branch","","Australian Labor Party (N.S.W. Branch); ","9596750","9619656","500534","0","0"
"2020-21","Australian Rail Tram & Bus Industry Union SA/NT","","Australian Labor Party (South Australian Branch); ","649779","611771","0","0","0"
"2020-21","Australian Rail Tram & Bus Industry Union, Queensland Branch","Australian Rail Tram & Bus Industry Union, Queensland Branch","Australian Labor Party (State of Queensland); ","4382260","4139366","260556","0","0"
"2020-21","Australian Rail Tram & Bus Union (Victorian Branch)","","Australian Labor Party (Victorian Branch); ","6874014","5484355","841021","0","0"
"2020-21","Australian Rail Tram and Bus Industry Union, Western Australia Branch","Australian Rail, Tram and Bus Industry Union of Employees, West Australian Branch; Australian Rail, Tram and Bus Industry Union, West Australian PTA Branch","Australian Labor Party (Western Australian Branch); ","1236393","1135519","581297","0","0"
"2020-21","Australian Rail,Tram & Bus Industry - TAS Branch","","Australian Labor Party (Tasmanian Branch); ","160689","119146","0","0","0"
"2020-21","Australian Services Union - Victorian & Tasmanian Authorities & Services Branch","","Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch); ","13765478","13472210","107981","0","0"
"2020-21","Australian Services Union of NSW & ACT (Services) Branch","","Australian Labor Party (N.S.W. Branch); Australian Labor Party (ACT Branch); ","8446665","6069241","491183","0","0"
"2020-21","Australian Services Union SA - NT Branch","","Australian Labor Party (South Australian Branch); Australian Labor Party (Northern Territory) Branch; ","3230804","3108756","130080","0","0"
"2020-21","Australian Services Union Western Australian Branch","","Australian Labor Party (Western Australian Branch); ","3507392","3861948","125244","0","0"
"2020-21","Australian Workers Union SA Branch","","Australian Labor Party (South Australian Branch); ","2945169","2534815","108433","0","0"
"2020-21","Australian Workers Union WA Branch","","Australian Labor Party (Western Australian Branch); ","6097503","6212135","1153899","0","0"
"2020-21","Automotive Food Metals Engineering Printing & Kindred Ind. Union","Automotive Food Metals Engineering Printing & Kindred Industries Union TASMANIA STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union WESTERN AUSTRALIA STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union SOUTH AUSTRALIA STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union QUEENSLAND STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union VICTORIA STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union NSW STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union NATIONAL COUNCIL","Australian Labor Party (ALP); Australian Labor Party (ACT Branch); Australian Labor Party (N.S.W. Branch); Australian Labor Party (Northern Territory) Branch; Australian Labor Party (South Australian Branch); Australian Labor Party (State of Queensland); Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch); Australian Labor Party (Western Australian Branch); Country Labor Party; ","52935475","48102524","396181","0","0"
"2020-21","AWU - Australian Workers Union (Tasmanian Branch)","","Australian Labor Party (Tasmanian Branch); ","1791384","1578264","70476","0","0"
"2020-21","Bass 200 Club","","Liberal Party of Australia (Victorian Division); ","5612","479","0","0","0"
"2020-21","Bayside Forum","","Liberal Party of Australia (Victorian Division); ","127464","50125","7590","0","0"
"2020-21","Berwick Ranges 500 Club","","Liberal Party of Australia (Victorian Division); ","25635","12963","0","0","0"
"2020-21","Bunori Pty Limited","","Liberal Party of Australia, NSW Division; ","4566002","4759660","1744636","0","0"
"2020-21","Burwood Business Network","","Liberal Party of Australia (Victorian Division); ","1984","785","0","0","0"
"2020-21","Canberra Labor Club Limited","2.200 Nominees Pty Ltd; S48 Investments Pty Ltd","Australian Labor Party (ACT Branch); ","69427098","66081276","31469529","0","0"
"2020-21","Caulfield Challenge 200 Club","","Liberal Party of Australia (Victorian Division); ","8770","0","0","0","0"
"2020-21","CEC Australia (Services) Pty Ltd","","Australian Citizens Party; ","2420740","2463022","1584139","0","0"
"2020-21","CEPU (T&S) NSW Branch","","Australian Labor Party (N.S.W. Branch); Country Labor Party; ","273347","251617","62973","0","0"
"2020-21","CEPU Communications Division - WA","","Australian Labor Party (Western Australian Branch); ","843795","1414208","0","0","0"
"2020-21","CEPU Communications Division (CWU QLD Branch)","Communication Workers Union","Australian Labor Party (State of Queensland); ","1263045","1232643","0","50000","0"
"2020-21","CEPU Communications Division SA/NT Branch","","Australian Labor Party (South Australian Branch); Australian Labor Party (Northern Territory) Branch; ","719651","731125","23952","0","0"
"2020-21","CEPU Electrical, Energy & Services Division - SA Branch","","Australian Labor Party (South Australian Branch); ","2275594","2390761","0","0","0"
"2020-21","CEPU Engineering & Electrical Division WA Branch","","Australian Labor Party (Western Australian Branch); ","3584897","3173877","30575","0","0"
"2020-21","CEPU P & T Victorian Branch","","Australian Labor Party (Victorian Branch); ","1703672","1509023","0","0","0"
"2020-21","CEPU Plumbing Division - NSW (CEPU of Australia NSW Branch)","","Australian Labor Party (N.S.W. Branch); Country Labor Party; ","2754464","1927717","973716","0","0"
"2020-21","CEPU Plumbing Division Queensland Branch","","Australian Labor Party (State of Queensland); ","4821642","4251643","656496","0","0"
"2020-21","CEPU Plumbing Division Victoria","","Australian Labor Party (Victorian Branch); ","9895981","7734674","1193495","0","0"
"2020-21","Chinese Liberals Association","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2020-21","Chisholm 200 Club","","Liberal Party of Australia (Victorian Division); ","27204","2048","0","0","0"
"2020-21","Citizens Media Group Pty Ltd","","Citizens Electoral Council of Australia; ","20484","20168","25176","0","0"
"2020-21","CLP Gifts & Legacies Pty Ltd","","Country Liberals (Northern Territory); ","36947","7690","0","0","0"
"2020-21","Communication Workers Union Central Branch","","Australian Labor Party (N.S.W. Branch); Australian Labor Party (ACT Branch); ","4560664","4796788","315451","0","0"
"2020-21","Constituent Management Services Pty Ltd","","National Party of Australia - N.S.W.; ","470832","463492","59724","0","0"
"2020-21","Construction Forestry Mining & Energy Union (NSW Branch) Construction & General Division (NSW State Body)","Construction Forestry Mining & Energy Union (NSW Branch) Construction & General Division","Australian Labor Party (N.S.W. Branch); Country Labor Party; ","598029","778187","0","0","0"
"2020-21","Cormack Foundation Pty Ltd","","Liberal Party of Australia (Victorian Division); Liberal Party of Australia; ","2959922","9686562","0","0","0"
"2020-21","Dame Pattie Menzies Liberal Foundation","","Liberal Party of Australia, NSW Division; ","1","653","0","0","0"
"2020-21","Dunkley Blue Ribbon Club","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2020-21","Electrical Trades Union of Australia - Victoria Branch","","Australian Labor Party (Victorian Branch); ","11415801","13761867","503609","0","0"
"2020-21","Electrical Trades Union of Australia NSW Branch","","Australian Labor Party (N.S.W. Branch); Country Labor Party; ","8163851","7480087","106507","0","0"
"2020-21","Electrical Trades Union of Employees Queensland","","Australian Labor Party (State of Queensland); Australian Labor Party (Northern Territory) Branch; ","2293694","1502648","3095594","0","0"
"2020-21","EMILY's List Australia","","Australian Labor Party (ALP); Australian Labor Party (Victorian Branch); ","380208","242085","0","0","0"
"2020-21","Endeavour 270 Club","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2020-21","Enterprise Club","","Liberal Party of Australia (Victorian Division); ","300","1700","0","0","0"
"2020-21","Finance Sector Union of Aust - QLD Branch","","Australian Labor Party (State of Queensland); ","1372919","1372919","0","0","0"
"2020-21","Finance Sector Union of Aust - SA/NT Branch","","Australian Labor Party (South Australian Branch); ","717462","717462","0","0","0"
"2020-21","Finance Sector Union of Australia - NSW Branch","Finance Sector Union NSW/ACT Branch","Australian Labor Party (N.S.W. Branch); ","3284571","3284571","0","0","0"
"2020-21","Finance Sector Union of Australia - VIC/TAS Branch","","Australian Labor Party (Victorian Branch); ","2752971","2752971","0","0","0"
"2020-21","Finance Sector Union of Australia - WA Branch","","Australian Labor Party (Western Australian Branch); ","1069049","1069049","0","0","0"
"2020-21","Forest Hill Supporters' Club","","Liberal Party of Australia (Victorian Division); ","8990","1733","0","0","0"
"2020-21","Forrest Cattle Fund Inc","","Liberal Party of Australia; Liberal Party (W.A. Division) Inc; ","85479","32257","17472","0","0"
"2020-21","Gatenby Investment Fund","","Liberal Party of Australia - Tasmanian Division; ","203312","167355","1088005","0","0"
"2020-21","Goulburn River & Ranges 200 Club","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2020-21","Health & Community Services Union Vic No. 2 HSU","","Australian Labor Party (Victorian Branch); ","5744205","5858222","406215","55000","0"
"2020-21","Health Services Union NSW","","Australian Labor Party (N.S.W. Branch); Country Labor Party; ","27451471","26978779","596615","0","0"
"2020-21","Health Services Union of Victoria No.1 Branch","","Australian Labor Party (Victorian Branch); ","7321995","7445778","638756","0","0"
"2020-21","Health Services Union SA Branch","","Australian Labor Party (South Australian Branch); ","563605","690896","27715","0","0"
"2020-21","Health Services Union, Tasmania Branch","","Australian Labor Party (Tasmanian Branch); ","4920668","4612320","227995","0","0"
"2020-21","Higgins 200 Club","","Liberal Party of Australia (Victorian Division); ","144748","143366","1389","0","0"
"2020-21","Higgins Foundation Ltd","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2020-21","Hughes Deserves Better Inc","","Georgia Steele; ","1318","0","0","0","0"
"2020-21","Hughes Independents Pty Ltd","","Georgia Steele; ","0","0","0","0","0"
"2020-21","Independent Calare Pty Ltd","","Kathleen Hook; ","0","0","0","0","0"
"2020-21","Independent Education Union of Australia WA Branch","","Australian Labor Party (Western Australian Branch); ","0","20151","0","0","0"
"2020-21","Independent Mackellar Pty Ltd","","Sophie Scamps; ","24300","250","0","0","0"
"2020-21","Industrial Staff Union","","Australian Labor Party (N.S.W. Branch); ","0","0","0","0","0"
"2020-21","Jagajaga 200 Club","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2020-21","John Curtin House Limited","","Australian Labor Party (ALP); ","6334882","6368011","0","0","0"
"2020-21","John McEwen House Pty Ltd","","National Party of Australia; ","171783","3537524","3242","0","0"
"2020-21","Kew 500 Club","","Liberal Party of Australia (Victorian Division); ","128324","4000","0","0","0"
"2020-21","Kooyong 200 Club","","Liberal Party of Australia (Victorian Division); ","1095387","88275","0","0","0"
"2020-21","Labor Holdings Pty Ltd","","Australian Labor Party (State of Queensland); ","3061582","4727780","2312640","0","0"
"2020-21","Labor Services & Holding Pty Ltd ATF the Labor Services and Holding Trust","","Australian Labor Party (Victorian Branch); ","3858499","3844667","5151271","0","0"
"2020-21","Laneway Assets Pty Ltd","","National Party of Australia; ","861773","873581","0","0","0"
"2020-21","Laneway Assets Pty Ltd as Trustee for the National Policy Forum Trust","","National Party of Australia; ","956300","576458","121925","0","0"
"2020-21","Liberal Asset Management (Custodians) Limited","","Liberal Party of Australia, NSW Division; ","81066","13245","558850","0","0"
"2020-21","Liberal Club Limited","","Liberal Party of Australia (S.A. Division); ","116512","62017","0","0","0"
"2020-21","Liberal Friends of Israel ","","Liberal Party of Australia (Victorian Division); ","5159","379","0","0","0"
"2020-21","Liberal Properties Limited","","Liberal Party of Australia, NSW Division; ","16","383","5543","0","0"
"2020-21","LPPH Pty Ltd","","Liberal Party (W.A. Division) Inc.; ","561166","4241","0","0","0"
"2020-21","Mackellar Rising Pty Ltd","","Sophie Scamps; ","20195","14565","11426","0","0"
"2020-21","Media Entertainment & Arts Alliance","Media Entertainment Arts & Alliance - VIC Branch; Media Entertainment ARts & Alliance - QLD Branch; Media Entertainment Arts & Alliance - SA Branch; Media Entertainment Arts & Alliance - WA Office; Media Entertainment & Arts Alliance NSW Branch","Australian Labor Party (N.S.W. Branch); Australian Labor Party (South Australian Branch); Country Labor Party; ","10548251","10974030","1137088","0","0"
"2020-21","Mehring Books Pty Ltd","","Socialist Equality Party; ","295478","292100","0","0","0"
"2020-21","Menzies 200 Club","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2020-21","Mornington Gold","","Liberal Party of Australia (Victorian Division); ","9300","0","0","0","0"
"2020-21","New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union ","","Australian Labor Party (N.S.W. Branch); ","19476702","15513866","608299","0","0"
"2020-21","Nixs Run Pty Ltd","","Nicolette Boele; ","0","0","0","0","0"
"2020-21","North Sydney's Independent Pty Ltd atf North Sydney Independent Candidate Fund","","Kylea Tink; ","9103","9103","2274","0","0"
"2020-21","Northern Territory ALP Investment Trust","","Australian Labor Party (Northern Territory) Branch; ","19155","27780","114095","0","0"
"2020-21","One Nation Western Australia Incorporated","","Australia First Party (NSW) Incorporated; ","0","6600","0","0","0"
"2020-21","OUTER EASTERN Platinum Club","","Liberal Party of Australia (Victorian Division); ","1600","290","0","0","0"
"2020-21","Parakeelia Pty Ltd","","Liberal Party of Australia; ","780196","726063","1496443","0","0"
"2020-21","Parliamentary Liberal Party Communication Committee (Victoria)","","Liberal Party of Australia (Victorian Division); ","53800","11856","0","0","0"
"2020-21","Perth Trades Hall Inc","","Australian Labor Party (Western Australian Branch); ","1079264","1010680","1341253","0","0"
"2020-21","Pilliwinks Pty Ltd as Trustee National Party Foundation","","National Party of Australia - Victoria; ","700597","366446","897861","0","0"
"2020-21","Progressive Business Association Inc","","Australian Labor Party (Victorian Branch); ","164997","235230","0","61400","0"
"2020-21","Project Indigold Pty Ltd","","Zoe Daniel; ","0","0","0","0","0"
"2020-21","Queensland Services, Industrial Union of Employees","","Australian Labor Party (State of Queensland); ","3077","73556","1206","0","0"
"2020-21","Regional Independent Candidates Pty Ltd","","; ; Robert Anthony Priestly; ","0","0","0","0","0"
"2020-21","Reignite Democracy Australia","","Monica Smit; Morgan C Jonas; ","0","0","0","0","0"
"2020-21","SA Progressive Business Incorporated","","Australian Labor Party (South Australian Branch); ","266289","145676","735","0","0"
"2020-21","Scoresby City Club","","Liberal Party of Australia (Victorian Division); ","13717","11004","0","0","0"
"2020-21","Shop Assistants & Warehouse Employees' Federation of Australia-Newcastle & Northern NSW","","Australian Labor Party (N.S.W. Branch); Country Labor Party; ","4461125","4331895","121293","0","0"
"2020-21","Shop Distributive & Allied Employees Association - Tasmanian Branch","","Australian Labor Party (Tasmanian Branch); ","2067319","1887030","133061","0","0"
"2020-21","Shop Distributive & Allied Employees Association - VIC Branch","","Australian Labor Party (Victorian Branch); ","17336639","16837641","115807","0","0"
"2020-21","Shop Distributive & Allied Employees' Association NSW Branch","","Australian Labor Party (N.S.W. Branch); Australian Labor Party (ACT Branch); Country Labor Party; ","20597976","20134157","762559","0","0"
"2020-21","Shop Distributive and Allied Employees Association (QLD Branch)","","Australian Labor Party (State of Queensland); ","12447652","13774698","371766","0","0"
"2020-21","Shop, Distributive & Allied Employees' Association - National","","Australian Labor Party (ALP); ","10384389","9064324","485093","0","0"
"2020-21","Shop, Distributive and Allied Employees Association, South Australia","","Australian Labor Party (South Australian Branch); ","10545822","10429448","285255","0","0"
"2020-21","Shop, Distributive and Allied Employees Association, South Australian and Northern Territory Branch","","Australian Labor Party (Northern Territory) Branch; ","1667311","2555715","8813","0","0"
"2020-21","Sir Charles Court Foundation","SCCF WA Pty Ltd","Liberal Party (W.A. Division) Inc.; ","45864","11339","0","0","0"
"2020-21","The 500 Club Inc","","Liberal Party (W.A. Division) Inc.; ","412607","348533","33775","0","0"
"2020-21","The Australian Brotherhood of Fathers","","Australian Better Families; ","74050","68846","0","0","0"
"2020-21","The Australian Workers' Union NSW Branch","","Australian Labor Party (N.S.W. Branch); Country Labor Party; ","13293625","12528685","677108","0","0"
"2020-21","The Australian Workers' Union of Employees Queensland","","Australian Labor Party (State of Queensland); ","12834537","11246280","2485942","0","0"
"2020-21","The Australian Workers' Union Victorian Branch","","Australian Labor Party (Victorian Branch); ","10539623","9285124","355209","968000","0"
"2020-21","The Breweries & Bottleyards Employees' Industrial Union of Workers of Western Australia","Dudley Pty Ltd Trustee for the Dudley Trust trading as Industrial Alliance","Australian Labor Party (Western Australian Branch); ","205811","931035","792","0","0"
"2020-21","The Chifley Research Centre Ltd","","Australian Labor Party (ALP); ","339832","289887","7176","267036","0"
"2020-21","The Federation of Hunting Clubs Inc","","Shooters, Fishers and Farmers Party; ","58311","56649","0","0","0"
"2020-21","The Flux Foundation","","VOTEFLUX.ORG | Upgrade Democracy!; ","0","0","0","0","0"
"2020-21","The Free Enterprise Foundation","","Liberal Party of Australia; National Party of Australia; ","0","665","0","0","0"
"2020-21","The Geelong 500 Club Inc","","Liberal Party of Australia (Victorian Division); National Party of Australia - Victoria; Liberal Party of Australia; ","2694","1093","0","0","0"
"2020-21","The Green Institute Limited","","Australian Greens; ","300729","397791","87224","100163","0"
"2020-21","The Greenfields Foundation","","Liberal Party of Australia; ","75001","38830","0","0","0"
"2020-21","The Lady Wilson Foundation","","Liberal Party of Australia (S.A. Division); ","3360","425","0","0","0"
"2020-21","The Liberal Foundation Inc","","Liberal Party of Australia (S.A. Division); ","51523","5385","0","0","0"
"2020-21","The Liberal Party of Western Australia Pty Ltd","","Liberal Party (W.A. Division) Inc.; ","254999","233029","2559","0","0"
"2020-21","The Menzies Research Centre Limited","","Liberal Party of Australia; ","1249777","1318914","97811","267854","0"
"2020-21","The Nepean Club","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2020-21","The Page Research Centre Ltd","","National Party of Australia; ","153318","137169","0","129425","0"
"2020-21","The Pinnacle Club","","Liberal Party of Australia (Victorian Division); ","185600","37091","0","0","0"
"2020-21","The Sapphire Club","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2020-21","The Shop, Distributive & Allied Employees' Association of Western Australia","","Australian Labor Party (Western Australian Branch); ","9744305","8474443","350654","0","0"
"2020-21","The Sydney Small Business Club (The Warringah Club)","","Liberal Party of Australia; ","2200","2139","0","0","0"
"2020-21","The United Professional Firefighters Union of Western Australia","","Australian Labor Party (Western Australian Branch); ","1682194","1518462","58333","0","0"
"2020-21","The Victoria Club","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2020-21","The Violet Bobin Trust","","Australian Labor Party (State of Queensland); ","19404","9324","0","0","0"
"2020-21","Transport Workers Union (WA Branch)","","Australian Labor Party (Western Australian Branch); ","4234787","4181549","127106","0","0"
"2020-21","Transport Workers Union of Australia - NSW Branch","","Australian Labor Party (ACT Branch); ","2369234","2302282","144871","0","0"
"2020-21","Transport Workers Union of Australia NSW QLD Interim Governance Branch formerly Transport Workers Union of Australia Queensland","","Australian Labor Party (State of Queensland); ","5295462","5159573","605834","0","0"
"2020-21","Transport Workers Union of Australia SA/NT Branch","","Australian Labor Party (South Australian Branch); Australian Labor Party (Northern Territory) Branch; ","2918152","3002896","83068","0","0"
"2020-21","Transport Workers Union of New South Wales","","Australian Labor Party (N.S.W. Branch); ","12717398","29173460","968750","0","0"
"2020-21","Transport Workers Union VIC/TAS Branch","","Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch); ","8182767","7337441","607853","0","0"
"2020-21","United Firefighters Union of Australia QLD Branch","","Australian Labor Party (State of Queensland); ","0","0","0","0","0"
"2020-21","United Firefighters Union of Australia Tasmania Branch","","Australian Labor Party (Tasmanian Branch); ","341052","306725","0","0","0"
"2020-21","United Firefighters Union of Australia VIC","","Australian Labor Party (Victorian Branch); ","7030172","9539120","284834","0","0"
"2020-21","United Firefighters Union of SA Inc","","Australian Labor Party (South Australian Branch); ","1087075","1046374","158386","0","0"
"2020-21","Vapold Pty Ltd","","Liberal Party of Australia (Victorian Division); ","1174863","2158950","27500","0","0"
"2020-21","Voices of Goldstein Inc","","Zoe Daniel; ","3656","3656","0","0","0"
"2020-21","Voices of Wannon Inc.","","Alex Dyson; ","340","0","0","0","0"
"2020-21","Warringah Independent Limited","","Zali Steggall; ","90807","117720","0","0","0"
"2020-21","We Are Hughes Incorporated","Linda Seymour Trading as We Are Hughes ","Linda Seymour; ","6975","7422","0","0","0"
"2020-21","Western Australian Prison Officers' Union of Workers","","Australian Labor Party (Western Australian Branch); ","3183051","5000103","346112","0","0"
"2020-21","YLNP No. 1 Ltd (James Killen Foundation)","","Liberal National Party of Queensland; ","42681","7054","0","0","0"
"2019-20","1973 Foundation Pty Ltd","","Australian Labor Party (ACT Branch); ","818559","1320144","829775","0","0"
"2019-20","281 Sandgate Road Properties Pty Ltd","","Liberal National Party of Queensland; ","828271","732413","7197890","0","0"
"2019-20","A.C.N. 009 936 010 Pty Ltd","","Liberal National Party of Queensland; ","1510","2145253","7252241","0","0"
"2019-20","A.C.N. 010 507 614 Pty Ltd","","Liberal National Party of Queensland; ","924076","5472664","5197517","0","0"
"2019-20","ALP Holdings Pty Ltd as Trustee of the ALP Investment Trust","","Australian Labor Party (South Australian Branch); ","62530","49026","1381009","0","0"
"2019-20","Altum Pty Ltd as Trustee for the Altum Head Quarters Trust","","Liberal National Party of Queensland; ","1428496","1428547","0","0","0"
"2019-20","Animal Justice Foundation Pty Ltd","","Animal Justice Party; ","60000","0","0","0","0"
"2019-20","ASU - NSW Local Government Clerical Administrative Energy Airlines & Utilities Branch","","Australian Labor Party (N.S.W. Branch); Country Labor Party; ","1039221","1007542","43708","0","0"
"2019-20","ASU Victorian Private Sector Branch","","Australian Labor Party (Victorian Branch); ","2790925","2511603","25815","0","0"
