"Financial Year","ClientFileId","Name","ABN","ACN","Total Expenditure","Electoral Expenditure Cat. 1","Electoral Expenditure Cat. 2","Electoral Expenditure Cat. 3","Electoral Expenditure Cat. 4","Electoral Expenditure Cat. 5","Total Gifts Received","ClientType"
"2023-24","45075","ABC Friends NSW & ACT","54 530 872 593","","0","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2023-24","18736","Australian Rail Tram & Bus Industry Union New South Wales Branch","55090785801","","0","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2023-24","19806","Automotive Food Metals Engineering Printing & Kindred Ind. Union","59459725116","","0","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2023-24","29749","Council of Mayors (SEQ) Pty Ltd","87141329302","141329302","0","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2023-24","1081","EMILY's List Australia","90077932775","","5503","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2023-24","18764","New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union ","","","0","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2023-24","20019","Shop Distributive & Allied Employees Association - VIC Branch","","","0","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2023-24","20118","Victorian Trades Hall Council","57 136 432 771","","16495","N/A","N/A","N/A","N/A","N/A","0","organisationdonor"
"2022-23","18756","Electrical Trades Union of Australia NSW Branch","24 379 005 569","","0","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2022-23","1081","EMILY's List Australia","90077932775","","16400","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2022-23","42689","Queensland Nurses and Midwives' Union","84382908052","","0","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2022-23","20019","Shop Distributive & Allied Employees Association - VIC Branch","","","0","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2022-23","36762","Smart Energy Council","3200 6824 148","006824148","0","N/A","N/A","N/A","N/A","N/A","0","organisationdonor"
