"Financial Year","Return Type","ClientFileId","Name","ABN","ACN","Lodged on behalf of","Total Receipts","Total Payments","Total Debts","Total Discretionary Benefits","Electoral Expenditure"
"2021-22","Significant Third Party Return","41168","Advance Australia","55628503702","","","2769583","3675615","11084","0","1294195"
"2021-22","Significant Third Party Return","42812","Allegra for Wentworth Pty Ltd","89 649 709 357","","","334270","0","11048","0","0"
"2021-22","Significant Third Party Return","38540","ANIMALS AUSTRALIA ","65 016 845 767","617 080 387","","15249392","19421998","1102424","0","300080"
"2021-22","Significant Third Party Return","30236","Australian Automobile Association","25008526369","008526369","","12828602","12460146","725541","4400000","0"
"2021-22","Significant Third Party Return","41169","Australian Chamber of Commerce and Industry","85 008 391 795","008 391 795","","7456323","7542831","580801","452100","0"
"2021-22","Significant Third Party Return","15605","Australian Christian Lobby","40 075 120 517","075 120 517","","10636848","10412285","165159","0","692018"
"2021-22","Significant Third Party Return","20499","Australian Conservation Foundation Incorporated","22007498482","","","18148065","20028068","984952","0","855"
"2021-22","Significant Third Party Return","19364","Australian Council of Trade Unions","67175982800","","uPoint Pty Ltd; Union Innovation Hub Pty Ltd; ACTU Super Shareholding Pty Ltd; ACTU Property Pty Ltd trustee company of ACTU Property Trust; ACTU Member Connect Pty Ltd trustee company of ACTU; ACTU Education Inc; ACTU Building Canberra Pty Ltd trustee company of ACTU Building Canberra Trust; ACN 005 461 601 Pty Ltd; ACN 005 454 035 Pty Ltd trustee company of ACTU Travel Trust; A.C.T.U.-A.C.S.P.A. Child Care Centre Limited; The Centre for Workers’ Capital Pty Ltd; Fair Vote Services Pty Ltd ","27774880","33923107","2120911","722079","3425175"
"2021-22","Significant Third Party Return","30314","Australian Education Union ","16006296647","","Australian Education Union Western Australian Branch; Australian Education Union Victorian Branch; Australian Education Union Tasmanian Branch; Australian Education Union South Australian Branch; Australian Education Union Queensland Branch; Australian Education Union Northern Territory Branch; Australian Education Union ACT Branch; AEU NSW Teachers Federation","105838653","93772914","6408793","91794","3570601"
"2021-22","Significant Third Party Return","28918","Australian Municipal Administrative Clerical and Services Union ","28519971998","","","6286696","6374439","103902","0","80000"
"2021-22","Significant Third Party Return","38542","Australian Nursing & Midwifery Federation","41816898298","","Australian Nursing & Midwifery Federation ACT Branch; Australian Nursing & Midwifery Federation NSW Branch; Australian Nursing & Midwifery Federation Tasmanian Branch; Australian Nursing & Midwifery Federation WA Branch; Australian Nursing and Midwifery Federation Vic Branch; Australian Nursing and Midwifery Federation, Northern Territory Branch; Australian Nursing & Midwifery Federation QNMU Branch; Australian Nursing & Midwifery Federation South Australia Branch","130031619","135182465","4579524","229040","761331"
"2021-22","Significant Third Party Return","45554","Australian Nursing & Midwifery Federation (SA Branch) (State Body)","95 969 485 175","","","20086785","18346434","4368842","0","534923"
"2021-22","Significant Third Party Return","41335","Australian Nursing Federation Industrial Union of Workers Perth","79757959435","","","18006755","14447449","2769046","0","634665"
"2021-22","Significant Third Party Return","41533","Australian Youth Climate Coalition Limited","67 145 851 912","145 851 912","","4214021","5733238","91840","0","47948"
"2021-22","Significant Third Party Return","19806","Automotive Food Metals Engineering Printing & Kindred Ind. Union","59459725116","","Automotive Food Metals Engineering Printing & Kindred Industries Union WESTERN AUSTRALIA STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union VICTORIA STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union TASMANIA STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union SOUTH AUSTRALIA STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union QUEENSLAND STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union NSW STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union NATIONAL COUNCIL","58452708","51297841","742430","0","2536"
"2021-22","Significant Third Party Return","36451","Business Council of Australia","75 008 483 216","008 483 216","","15283280","15089246","205694","127500","125521"
"2021-22","Significant Third Party Return","18748","CEPU - Electrical Division QLD & NT ","80450640455","","","18495944","18619817","7728146","0","149743"
"2021-22","Significant Third Party Return","40367","Climate 200 Pty Limited","98 632 816 383","632 816 383","","13570755","12797184","288175","0","5761196"
"2021-22","Significant Third Party Return","4545","Communications, Electrical and Plumbing Union - Electrical, Energy and Services Division","60 429 406 804","","CEPU EE&SD – Western Australian Branch; CEPU EE&SD – Tasmanian Branch; CEPU EE&SD - South Australian Branch; CEPU EE&SD - Queensland and Northern Territory Branch; CEPU EE&SD - Victorian Branch; CEPU Electrical, Energy & Services Division (EE&SD) - New South Wales & Australian Capital Territory Branch","51055709","53448584","8777588","837873","3619335"
