"Financial Year","Return Type","ClientFileId","Name","ABN","ACN","Lodged on behalf of","Total Receipts","Total Payments","Total Debts","Total Discretionary Benefits","Electoral Expenditure"
"2024-25","Significant Third Party Return","48459","Muslim Votes Matter PTY LTD","33 675 222 858","675 222 858","","133363","132579","0","0","130541"
"2024-25","Significant Third Party Return","34439","National Disability Services Limited","52 008 445 485","008 445 485","","16782539","18671457","524150","6060450","3475"
"2024-25","Significant Third Party Return","50089","Neighbours of Fish Farming (NOFF) Inc","473 096 904 52","","","158570","145164","0","0","30977"
"2024-25","Significant Third Party Return","20511","New South Wales Nurses and Midwives' Association","63 398 164 405","","","66223012","64984381","3438585","0","0"
"2024-25","Significant Third Party Return","48487","QJ Collective Limited","59677755494","677755494","","459260","461764","34282","0","296607"
"2024-25","Significant Third Party Return","20649","Queensland Teachers Union","62 408 519 861","","","37726577","39310015","1768916","0","10485"
"2024-25","Significant Third Party Return","47831","Regional Voices Fund Pty Ltd","44675794859","675794859","","577332","517925","0","0","5429"
"2024-25","Significant Third Party Return","42989","Smart Voting Pty Ltd","17 657 051 182","657 051 182","","0","0","0","0","0"
"2024-25","Significant Third Party Return","42021","The Parenthood Project Limited","","","","1498740","1252234","52235","0","0"
"2024-25","Significant Third Party Return","29810","Together Queensland Industrial Union of Employees","","","","389478","1819193","20480","0","0"
"2024-25","Significant Third Party Return","48460","UNITED AUSTRALIA PARTY","62483931277","","","503380","303476","247","0","50795"
"2024-25","Significant Third Party Return","18834","United Workers Union","52728088684","","","113655260","114703486","3338691","0","1564137"
"2024-25","Significant Third Party Return","44881","Victoria Forward Pty Ltd","23641527175","641527175","","0","0","0","0","0"
"2024-25","Significant Third Party Return","48497","VIDA IMPACT FUND PTY LTD","76 683 675 407","683 675 407","","505822","495413","0","0","9626"
"2024-25","Significant Third Party Return","42979","Voices of Bradfield Inc","","","","3427","4132","0","0","0"
"2024-25","Significant Third Party Return","48491","Voices of Fisher","47984828525","","","54817","67811","0","0","29368"
"2024-25","Significant Third Party Return","42187","Vote Angus Out Pty Ltd","","650 853 464","","0","0","0","0","0"
"2023-24","Significant Third Party Return","42742","1 in 50 Incorporated","","","","0","0","0","0","0"
"2023-24","Significant Third Party Return","41168","Advance Australia","55628503702","","","15676823","13014688","38428","0","297378"
"2023-24","Significant Third Party Return","42812","Allegra for Wentworth Pty Ltd","89 649 709 357","","","0","0","0","0","0"
"2023-24","Significant Third Party Return","38540","ANIMALS AUSTRALIA ","65 016 845 767","617 080 387","","11244307","10890236","535194","0","0"
"2023-24","Significant Third Party Return","15605","Australian Christian Lobby","40 075 120 517","075 120 517","","6232921","5699783","121108","0","0"
"2023-24","Significant Third Party Return","19364","Australian Council of Trade Unions","67175982800","","uPoint Pty Ltd; Union Innovation Hub Pty Ltd; The Centre for Workers’ Capital Pty Ltd; Fair Vote Services Pty Ltd ; ACTU Super Shareholding Pty Ltd; ACTU Property Pty Ltd trustee company of ACTU Property Trust; ACTU Member Connect Pty Ltd trustee company of ACTU; ACTU Education Inc; ACTU Building Canberra Pty Ltd trustee company of ACTU Building Canberra Trust; ACN 005 461 601 Pty Ltd; ACN 005 454 035 Pty Ltd trustee company of ACTU Travel Trust; A.C.T.U.-A.C.S.P.A. Child Care Centre Limited","27682628","23258221","1137732","7471242","396182"
"2023-24","Significant Third Party Return","30314","Australian Education Union ","16006296647","","Australian Education Union Western Australian Branch; Australian Education Union Victorian Branch; Australian Education Union Tasmanian Branch; Australian Education Union South Australian Branch; Australian Education Union Queensland Branch; Australian Education Union Northern Territory Branch; Australian Education Union ACT Branch; AEU NSW Teachers Federation","104776189","101501200","4979960","0","3173626"
"2023-24","Significant Third Party Return","28918","Australian Municipal Administrative Clerical and Services Union ","28519971998","","","5906128","5600015","134157","0","0"
"2023-24","Significant Third Party Return","38542","Australian Nursing & Midwifery Federation","41816898298","","Australian Nursing & Midwifery Federation QNMU Branch; Australian Nursing and Midwifery Federation, Northern Territory Branch; Australian Nursing and Midwifery Federation Vic Branch; Australian Nursing & Midwifery Federation South Australia Branch; Australian Nursing & Midwifery Federation WA Branch; Australian Nursing & Midwifery Federation Tasmanian Branch; Australian Nursing & Midwifery Federation NSW Branch; Australian Nursing & Midwifery Federation ACT Branch","50457024","129871293","14776485","7220254","53143"
"2023-24","Significant Third Party Return","45554","Australian Nursing & Midwifery Federation (SA Branch) (State Body)","95 969 485 175","","","22104061","23643208","647838","487385","0"
"2023-24","Significant Third Party Return","41335","Australian Nursing Federation Industrial Union of Workers Perth","79757959435","","","15015798","16498404","941746","0","1098960"
"2023-24","Significant Third Party Return","48591","Australian Taxpayers' Alliance Pty Ltd","72 153 797 294","153 797 294","","0","0","0","0","0"
